,year,selling_price,km_driven,fuel_type,Type_of_Seller,Transmit,Owner_Type,brand_name,model_name
458,2018,250000,20000,4,1,1,0,18,108
459,2019,500000,1250,4,1,1,0,10,136
460,2015,380000,17152,4,1,1,0,25,181
461,2019,1850000,5000,1,1,0,0,17,174
462,2012,350000,77000,1,1,1,0,27,115
463,2008,195000,90000,1,1,1,2,10,161
464,2011,225000,80000,4,1,1,2,3,27
465,2015,1125000,65000,1,1,1,0,26,85
466,2011,133000,80000,1,1,1,0,25,82
467,2013,200000,24005,4,1,1,0,10,50
468,2018,940000,20000,1,1,1,0,18,162
469,2014,400000,120000,1,1,1,0,23,48
470,2009,120000,120000,4,1,1,2,10,182
471,2015,625000,80000,1,1,1,0,18,147
472,2005,110000,80000,4,1,1,0,18,147
473,2012,490000,100000,1,1,1,0,23,48
474,2009,140000,120000,4,1,1,2,18,14
475,2011,175000,149000,1,1,1,2,8,65
476,2005,90000,65000,4,1,1,2,18,164
477,2009,275000,100000,1,1,1,2,18,147
478,2011,300000,65000,1,1,1,2,27,157
479,2018,270000,19000,4,1,1,2,5,72
480,2010,130000,80000,4,1,1,2,3,27
481,2015,275000,30000,4,1,1,0,18,14
482,2012,352000,109000,1,1,1,0,18,147
483,2012,180000,90000,3,1,1,0,10,50
484,2012,150000,90000,4,1,1,0,18,14
486,2010,300000,110000,1,1,1,2,18,147
487,2007,225000,120000,1,1,1,0,17,28
488,2014,600000,44000,1,1,1,0,9,101
489,2015,500000,80000,4,1,1,0,18,58
490,2018,900000,5000,4,1,1,0,9,24
491,2016,600000,61000,4,1,1,0,10,183
492,2011,450000,100000,1,1,1,2,26,61
493,2009,270000,27633,4,1,1,0,10,182
494,2010,310000,100000,1,1,1,4,18,147
495,2012,250000,100000,3,1,1,0,10,136
496,2019,700000,12586,4,0,1,0,8,65
497,2018,650000,38083,1,0,1,0,6,22
498,2012,400000,55328,1,0,1,0,8,65
499,2012,425000,81632,1,0,1,0,8,65
500,2016,600000,155201,1,0,1,0,8,20
501,2013,600000,93283,1,0,1,0,8,51
502,2009,300000,217871,1,0,1,0,18,147
503,2012,450000,90165,1,0,1,0,8,64
504,2014,750000,101504,1,0,1,0,8,52
505,2010,325000,86017,1,0,1,2,8,65
506,2013,900000,85036,1,0,1,2,17,174
507,2006,180000,91086,4,0,1,2,8,81
508,2013,350000,160254,1,0,1,2,6,117
509,2013,600000,125531,1,0,1,2,8,51
510,2019,900000,60000,1,1,1,0,9,163
511,2006,350000,100000,1,1,1,0,24,93
512,2013,280000,90000,1,1,1,4,18,127
513,2009,225000,120000,1,1,1,2,17,177
514,2014,520000,82000,1,1,1,0,9,39
515,2016,509999,60000,1,1,1,0,17,138
516,2019,556000,24000,4,1,1,0,18,26
517,2014,225000,120000,1,1,1,0,25,83
518,2013,325000,65000,1,0,1,0,9,17
519,2013,365000,65000,1,0,1,0,18,147
520,2015,850000,84000,1,0,1,0,10,44
521,2013,350000,75000,1,0,1,0,26,61
522,2007,225000,50000,1,0,1,0,18,147
523,2011,135000,50000,4,1,1,0,18,14
524,2007,140000,49000,4,0,1,0,18,164
525,2016,665000,560000,1,0,1,0,18,132
526,2015,275000,14365,4,0,1,0,23,90
527,2017,2750000,41000,1,1,0,0,26,67
528,2013,484999,65000,1,0,1,0,10,161
529,2015,565000,65000,1,0,1,0,18,38
530,2013,425000,61083,1,0,1,0,18,147
531,2013,925000,75000,1,1,1,0,26,85
532,2012,565000,72000,1,0,1,0,17,138
533,2014,525000,65000,1,0,1,0,23,48
534,2017,1650000,55000,1,0,1,0,10,155
535,2015,295000,21000,4,0,1,2,10,50
536,2012,2050000,66363,4,0,0,2,12,171
537,2018,1475000,11700,4,0,0,0,10,44
538,2017,1100000,10000,4,1,0,0,10,161
539,2014,4400000,100000,1,1,0,2,19,70
540,2016,670000,7104,4,2,1,0,18,147
541,2015,750000,45974,1,2,1,0,18,130
542,2015,760000,55340,4,2,1,0,10,161
543,2017,850000,20000,4,0,0,2,27,115
544,2015,390000,61585,1,2,1,0,23,116
545,2016,450000,39415,4,2,0,2,18,37
546,2014,425000,29654,4,2,1,0,9,30
547,2016,770000,64672,1,2,1,0,18,26
548,2015,1150000,54634,1,2,0,2,10,44
549,2015,775000,66521,4,2,1,0,9,39
550,2018,1725000,23974,1,0,0,2,26,85
551,2016,2150000,43000,1,0,0,0,2,2
552,2013,450000,1000,1,0,1,2,23,48
553,2018,3800000,10000,1,0,0,0,19,31
554,2013,1580000,86000,1,0,0,0,1,8
555,2019,4950000,30000,1,0,0,0,2,168
556,2016,535000,52600,1,1,1,0,10,44
557,2012,225000,110000,4,1,1,2,18,132
558,2017,550000,19890,4,0,0,0,10,74
560,2015,625000,11918,4,2,1,0,18,58
561,2017,520000,10510,4,0,0,0,10,74
562,2016,239000,41000,4,0,1,0,3,27
563,2017,2600000,47162,1,2,0,0,26,67
565,2012,229999,49824,4,0,1,0,10,182
566,2013,1300000,58500,1,0,0,0,1,10
567,2005,80000,56580,4,0,1,0,10,136
568,2012,385000,52000,1,0,1,0,24,93
570,2017,600000,46507,1,2,1,0,18,147
628,2013,350000,50000,4,1,1,2,10,183
629,2014,114999,30000,4,1,1,0,18,14
630,2013,380000,50000,4,1,1,2,10,183
631,1995,95000,100000,4,1,1,2,18,76
632,2016,900000,35000,1,1,1,0,17,138
633,2012,200999,90000,4,1,1,2,3,27
634,2014,229999,11451,4,1,1,0,18,108
635,2019,800000,60000,1,1,1,0,25,105
636,2012,150000,172000,1,1,1,2,17,160
637,2018,600000,60000,1,1,1,0,18,147
638,2005,150000,150000,1,1,1,0,3,149
639,2009,150000,66000,1,1,1,0,3,110
640,2019,380000,5000,4,1,1,0,18,53
641,2006,80000,66508,4,1,1,2,18,147
642,2007,225000,55000,4,1,1,2,9,40
643,2012,75000,29900,4,1,1,0,25,103
644,2017,1600000,3000,1,1,1,0,25,79
645,2012,185000,85000,1,1,1,0,25,82
646,2011,425000,50000,1,1,1,0,17,138
647,2010,100000,120000,1,1,1,2,25,82
648,2008,140000,90000,4,1,1,4,18,180
649,2017,710000,8000,4,1,0,0,18,147
650,2015,450000,7900,4,1,0,0,9,17
651,2017,210000,50000,4,1,1,0,5,125
652,2016,270000,25000,4,1,1,0,18,14
653,2009,110000,20000,4,1,1,0,18,14
654,2018,540000,17500,4,1,1,0,18,147
655,2008,145000,25000,4,1,1,0,17,126
656,2013,360000,206500,1,1,1,0,25,133
657,2013,250000,88600,3,1,1,0,10,182
658,2012,110000,80000,1,1,1,0,25,158
659,2008,250000,100000,1,1,1,1,3,35
660,2011,150000,186000,1,1,1,2,8,64
661,2010,140000,60000,4,1,1,0,3,21
662,2019,925000,11000,4,1,1,0,18,38
663,2017,969999,30000,1,1,1,0,25,79
664,2007,90000,80000,0,1,1,4,10,136
665,2001,55000,60000,4,1,1,4,10,136
666,2007,155000,100000,1,1,1,1,10,161
667,2019,900000,15000,1,1,1,0,17,151
668,2011,135000,90000,4,1,1,0,18,14
669,2012,180000,120000,4,1,1,0,18,6
670,2013,495000,100000,1,1,1,2,10,161
671,2009,400000,138000,1,1,1,4,26,85
672,2008,250000,110000,1,1,1,2,10,161
673,2015,138000,120000,4,1,1,1,18,14
674,2011,311000,70000,4,1,0,2,9,39
675,2015,190000,70000,4,1,1,0,18,14
676,2011,311000,140000,1,1,1,0,17,28
677,2009,300000,15000,4,1,1,0,18,127
678,2018,600000,20000,4,1,1,0,9,86
679,2009,550000,100000,1,1,1,0,17,138
680,2015,600000,70000,4,1,0,0,24,124
681,2018,195000,5000,4,1,1,0,18,14
682,2013,58000,27974,4,1,1,0,25,103
683,2018,183000,40000,4,1,1,0,18,14
684,2007,95000,80000,4,1,1,0,18,180
685,2013,250000,38000,4,1,1,0,18,164
687,2014,400000,35000,4,1,1,0,25,181
688,2012,409999,60000,1,1,1,2,10,161
689,2004,120000,120000,1,1,1,2,24,107
690,2018,600000,18000,4,1,0,0,18,147
691,2016,600000,10000,4,1,1,0,9,17
692,2015,825000,90000,1,1,1,4,17,174
693,2016,625000,80000,1,1,1,2,26,61
694,2020,700000,1400,1,1,1,0,10,74
695,2011,160000,60000,4,1,1,0,3,27
696,2011,114999,60000,4,1,1,4,18,14
697,2009,150000,53000,4,1,1,0,18,164
698,2010,250000,100000,1,0,1,0,27,88
699,2012,390000,86000,1,0,1,2,10,161
700,2015,650000,100000,1,1,1,0,23,48
701,2016,600000,30000,1,1,1,0,10,175
702,2011,250000,120000,4,1,1,0,10,183
703,2011,229999,60000,3,1,1,2,10,136
704,2016,299000,50000,1,1,1,2,18,127
705,2010,330000,124000,1,1,1,2,3,46
706,2012,180000,100000,4,1,1,4,10,12
707,2017,475000,42000,4,1,1,0,10,74
708,2015,325000,100000,1,1,1,0,10,74
709,2016,639000,28205,4,0,1,0,9,39
710,2017,415000,32670,4,0,0,0,18,37
711,2016,1199000,30093,1,0,0,0,10,44
712,2013,525000,56228,0,0,1,0,18,58
713,2013,425000,59319,4,0,1,0,10,161
714,2016,699000,39503,1,0,1,0,18,162
715,2013,325000,35299,4,0,1,0,10,74
716,2011,275000,51687,4,0,1,0,26,61
717,2011,269000,76259,4,0,0,0,27,157
718,2013,399000,44049,1,0,1,0,27,115
719,2017,475000,45087,1,0,1,0,17,89
720,2011,249000,41125,4,0,1,0,26,61
721,2014,1549000,42215,1,0,0,0,1,8
722,2011,254999,54206,4,0,1,0,27,115
723,2012,269000,52547,4,0,1,0,24,124
724,2014,665000,59110,1,0,1,0,18,58
725,2014,299000,54565,4,0,1,0,18,164
726,2010,265000,47564,4,0,1,2,10,183
727,2010,211000,45143,4,0,1,2,27,115
728,2013,599000,61624,4,0,0,2,24,145
729,2007,55000,195000,1,1,1,4,25,83
730,2014,550000,50000,1,1,1,0,10,161
731,2018,4000000,68000,1,1,0,0,15,128
732,2010,220000,120000,1,1,1,2,25,143
733,2019,500000,20000,4,1,1,0,18,147
734,2010,140000,30000,4,1,1,0,18,14
735,2013,325000,60000,1,1,1,0,18,147
736,2010,210000,90000,4,1,1,4,10,183
737,2008,110000,90000,4,1,1,2,18,14
738,2019,1200000,25000,1,1,1,0,10,161
739,2017,229999,40000,4,1,1,0,18,14
741,2006,165000,132000,4,1,1,0,18,14
742,2018,525000,10980,4,0,0,0,25,152
743,2018,325000,20629,4,0,1,0,10,50
744,2018,1500000,50000,1,1,1,0,26,85
745,2015,400000,30000,4,1,0,0,10,74
746,2015,550000,69782,4,0,1,0,18,38
747,2003,98000,54000,4,1,1,0,18,6
748,2013,900000,63654,1,0,1,0,17,174
749,2017,700000,60000,1,1,1,0,23,95
750,2015,890000,52000,1,0,1,0,17,138
751,2015,490000,59385,1,0,1,0,18,147
752,2015,525000,70378,4,0,1,0,10,183
753,2013,330000,55425,4,0,1,0,18,164
754,2013,550000,78413,1,0,1,2,17,28
755,2018,790000,40890,1,0,1,0,17,28
756,2015,350000,34823,4,0,1,2,9,30
757,2017,1700000,75000,1,1,0,0,26,85
758,2017,750000,55545,1,0,1,0,18,38
759,2014,409999,56541,1,0,1,0,9,17
760,2016,220000,43700,4,1,1,0,10,50
761,2009,68000,120000,4,1,1,2,25,82
762,2017,290000,20000,4,1,1,0,10,50
763,2014,600000,27483,1,0,1,0,9,39
764,2019,470000,8000,4,1,1,0,18,147
765,2008,150000,30000,4,1,1,0,10,182
766,2014,180000,56207,4,0,1,2,18,14
767,2006,80000,70000,4,1,1,0,18,180
768,2018,875000,1440,4,1,1,0,9,163
769,2019,300000,50000,4,1,1,0,18,14
770,2017,2800000,20000,1,1,0,0,26,67
771,2017,1330000,91195,1,0,1,0,26,85
772,2011,220000,63657,1,0,1,0,27,115
773,2013,250000,60000,1,1,1,0,17,160
774,2016,919999,75000,1,0,1,0,26,85
775,2013,380000,97248,4,0,1,0,27,157
776,2012,450000,46000,1,1,1,0,18,147
777,2016,770000,10000,4,1,0,0,10,161
778,2018,550000,80000,1,1,1,0,18,147
779,2011,320000,100000,1,1,1,2,25,104
780,2013,400000,35000,4,1,1,0,18,132
781,2017,450000,50000,4,1,0,0,18,37
782,2011,220000,90000,1,1,1,4,18,132
783,2012,400000,150000,1,1,1,2,17,174
784,2013,530000,89000,4,1,1,2,10,161
785,2014,390000,60000,1,1,1,2,18,147
786,2012,185000,100000,1,1,1,2,6,75
787,2012,300000,100000,4,1,1,2,18,132
788,2014,575000,90000,1,1,1,2,18,147
789,2014,300000,75000,4,1,1,0,18,164
790,2017,425000,36000,1,0,1,0,26,61
791,2016,350000,12000,4,1,1,0,10,175
792,2017,550000,12997,1,0,1,0,9,17
793,2017,500000,40000,4,1,0,0,18,38
794,2015,600000,60000,1,1,1,0,17,138
795,2013,300000,25000,1,1,1,2,17,122
796,2018,1150000,26430,1,0,1,0,10,161
797,2015,475000,24600,4,0,1,0,18,147
798,2011,260000,28481,4,0,1,0,18,164
799,2013,350000,100000,4,1,1,0,8,52
800,2013,750000,41988,1,0,1,0,17,174
801,2009,180000,30375,4,0,1,0,18,164
802,2017,350000,7658,4,0,0,0,23,90
803,2017,611000,34400,1,0,1,0,18,147
804,2017,325000,18500,4,0,1,0,23,90
805,2012,225000,48000,4,0,1,0,10,50
806,2014,300000,28942,4,0,0,0,18,164
807,2017,400000,50000,1,1,1,2,17,28
808,2012,711000,53600,1,0,1,0,17,174
809,2015,851000,53652,1,0,1,0,26,85
810,2014,500000,25000,4,1,1,0,18,58
811,2007,250000,80000,1,1,1,2,26,85
812,2017,150000,50000,4,1,1,0,18,14
813,2016,610000,15000,1,1,1,2,17,138
814,2018,450000,5000,4,1,1,0,17,89
815,2017,744000,106000,1,1,1,0,10,183
816,2008,120000,100000,4,1,1,4,3,142
817,2016,220000,60000,4,1,1,4,23,90
818,2012,480000,120000,1,1,1,1,18,58
819,2017,370000,82000,4,1,0,0,18,37
820,2003,55000,35000,1,1,1,2,6,113
821,2013,125000,205000,4,1,1,0,10,50
822,2011,260000,125000,1,1,1,4,10,161
823,2015,350000,130000,1,1,1,0,6,94
824,2012,170000,97000,0,1,1,2,18,14
825,2015,350000,90000,4,1,1,2,10,74
826,2009,250000,60000,4,1,1,4,18,147
827,2013,170000,60000,1,1,1,0,25,83
828,2018,1300000,35000,1,1,1,0,17,138
829,2019,550000,25000,4,1,1,0,10,74
830,2017,400000,15000,4,1,1,0,9,30
831,2011,120000,20000,4,1,1,0,25,103
833,2010,275000,70000,4,1,1,0,8,65
834,2016,285000,90000,4,1,1,0,25,181
835,2016,900000,80000,1,1,1,0,10,44
836,2014,2500000,79500,1,1,0,2,19,96
837,2013,620000,70000,1,1,1,2,10,161
838,2018,1700000,5000,1,1,1,0,26,85
839,2018,650000,15000,4,1,1,0,8,65
840,2014,500000,35000,4,1,1,0,18,58
841,2009,250000,120000,1,1,1,2,25,104
842,2018,950000,15000,1,1,1,2,17,98
843,2015,320000,60000,4,1,1,0,26,61
844,2013,450000,120000,1,1,1,0,23,48
845,2016,350000,90000,1,1,1,0,17,89
846,2015,400000,90000,4,1,1,0,18,147
848,2009,250000,72000,1,1,1,2,10,183
849,2011,550000,197000,4,1,1,2,26,85
850,1999,85000,70000,4,1,1,2,18,180
851,2001,52000,50000,4,1,1,4,10,136
852,2017,1200000,50000,1,1,0,0,25,79
853,2011,450000,60000,4,1,0,4,10,161
854,2018,615000,40000,4,1,1,0,18,147
855,2012,400000,60000,1,1,1,2,18,132
856,2013,60000,40000,4,1,1,0,25,103
857,2017,500000,9161,4,1,1,0,18,80
858,2015,600000,45000,4,1,1,0,9,101
859,2010,110000,110000,4,1,1,0,10,73
860,2013,175000,80000,4,1,1,0,10,136
861,2011,325000,100000,1,1,1,2,8,64
862,2017,425000,90000,1,1,1,0,18,147
863,2009,160000,70000,0,1,1,4,10,12
864,2007,100000,80000,4,1,1,4,18,180
865,2014,390000,110000,1,1,1,2,18,147
866,2017,400000,50000,4,1,1,0,10,183
867,2018,509999,5000,4,1,1,0,25,153
868,2008,150000,90000,4,1,1,4,10,182
869,2009,110000,120000,4,1,1,0,10,136
870,2013,450000,80000,1,1,1,0,21,144
871,2017,400000,38000,4,1,1,2,10,183
872,2009,140000,120000,4,1,1,0,10,136
873,2011,130000,90000,1,1,1,0,25,83
874,2017,160000,50000,4,1,1,0,18,14
875,2016,150000,60000,4,1,1,0,18,14
876,2013,500000,100000,1,1,1,2,17,174
877,2011,40000,19000,4,1,1,0,25,103
878,2006,140000,200000,1,1,1,4,3,149
879,2015,227000,70000,1,1,1,2,17,160
880,2011,285000,50000,1,1,1,2,18,147
881,2012,155000,19077,4,1,1,2,18,14
882,2016,210000,30000,4,1,1,0,10,50
883,2009,140000,80000,4,1,1,2,18,14
884,2015,940000,128000,1,1,1,0,26,85
885,2013,750000,80000,1,1,1,0,21,150
886,2016,610000,100000,1,1,1,0,18,26
887,2015,450000,50000,1,1,1,0,21,144
888,2012,409999,56000,1,1,1,0,26,61
889,2018,100000,21302,4,1,1,0,10,50
890,2018,300000,10500,4,1,1,0,23,90
891,2013,400000,107000,1,1,1,0,17,28
892,2010,210000,60000,4,1,1,2,10,182
893,2006,90000,120000,4,1,1,2,10,136
894,2010,222000,70000,4,1,1,0,18,164
895,2015,240000,50000,4,1,1,2,18,14
896,2013,450000,70000,1,1,1,2,26,61
935,2012,735000,55300,1,0,0,0,27,88
936,2012,285000,74300,1,0,1,0,25,82
937,2010,350000,48781,4,0,1,0,9,39
938,2010,290000,87620,1,0,0,0,27,88
939,2017,890000,40219,1,0,0,0,27,157
940,2011,385000,11473,4,0,1,0,9,86
941,2017,425000,8352,4,0,1,0,18,53
942,2017,525000,9745,4,0,0,0,18,164
943,2017,550000,9748,4,0,1,0,10,74
944,2012,271000,49000,4,0,1,0,27,115
945,2018,1490000,20694,1,0,1,0,10,44
946,2015,490000,31080,4,0,1,0,10,74
947,2014,260000,37605,4,0,1,0,10,50
948,2014,455000,55850,1,0,1,0,10,175
949,2010,75000,58850,4,0,1,0,25,103
950,2015,421000,23839,4,0,1,0,26,61
951,2016,550000,54000,1,0,1,0,18,147
952,2013,330000,38000,4,0,0,0,10,182
953,2012,390000,45454,1,0,1,0,27,157
954,2015,599000,46957,1,0,0,0,24,124
955,2007,110000,60000,4,1,1,1,10,73
956,2016,250000,25000,4,1,1,0,23,90
957,2012,600000,110000,1,1,1,1,17,138
958,2008,280000,190000,1,1,1,2,8,56
959,2018,2700000,25000,1,1,0,0,1,118
960,2008,80000,90000,4,1,1,0,17,126
961,2019,350000,5000,4,1,1,0,18,14
962,2015,475000,60000,1,1,1,0,18,147
963,2020,4700000,1500,1,1,0,0,1,9
964,2018,500000,50000,1,1,1,0,18,147
965,2014,250000,120000,1,1,1,0,3,134
966,2005,100000,120000,1,1,1,2,10,12
967,2019,350000,5000,4,1,1,0,18,14
968,2014,4000000,47000,1,1,0,0,2,5
969,2017,1900000,20000,4,1,0,0,26,34
970,2005,95000,120000,4,1,1,2,10,136
971,2015,409999,58000,1,1,1,0,10,74
972,2018,1050000,35000,1,1,1,0,17,174
973,2017,320000,30000,4,1,1,0,18,14
974,2019,1000000,10000,1,1,1,0,17,173
975,2017,1770000,25000,1,1,1,0,26,85
976,2018,950000,20000,1,1,1,0,17,151
977,2018,750000,50000,1,1,1,0,18,147
978,2014,220000,42000,4,1,1,0,10,50
979,2017,1000000,50000,1,1,1,0,25,79
980,2017,660000,116000,1,1,1,0,9,101
981,2015,716000,100000,1,1,1,0,18,58
982,2015,675000,66000,4,1,1,0,18,38
983,2010,385000,110000,1,1,1,4,17,138
984,2014,325000,70000,1,1,1,0,6,75
985,2015,950000,60000,1,1,1,0,10,44
986,2007,400000,110000,1,1,0,1,8,56
987,2014,250000,25000,1,1,1,0,25,82
988,2018,4000000,68000,4,1,0,0,15,128
989,2014,210000,20000,4,1,1,0,18,14
990,2011,147000,110000,4,1,1,2,10,182
991,2018,725000,26350,1,1,1,0,18,162
992,2012,550000,90000,1,1,1,0,17,138
993,2016,475000,25000,4,1,1,0,10,183
994,2014,250000,50000,4,1,1,2,10,136
995,2006,70000,60000,4,1,1,2,25,82
996,2012,160000,70000,4,1,1,4,10,50
997,2011,1000000,90000,1,1,0,2,8,56
998,2001,68000,70000,4,1,1,0,10,136
999,2017,500000,26500,4,1,1,0,10,74
1002,2020,1050000,10000,1,1,1,0,10,44
1005,2017,900000,50000,1,1,1,0,10,161
1007,2007,100000,52000,4,1,1,2,18,14
1010,2013,300000,90000,1,1,1,0,10,183
1011,2011,140000,60000,1,1,1,2,25,83
1017,2018,550000,35000,4,1,1,0,8,65
1018,2012,650000,71042,1,0,1,0,17,174
1019,2012,1025000,167870,1,0,1,2,20,112
1020,2011,195000,133564,1,0,1,0,8,64
1022,2013,1490000,40000,1,0,0,0,2,2
1024,2018,1140000,23038,4,2,0,0,9,39
1025,2011,95000,70000,1,1,1,0,3,27
1026,2017,3050000,30000,1,1,0,0,2,2
1034,2017,585000,43608,4,2,1,0,18,26
1035,2018,825000,11212,4,2,0,0,18,26
1036,2013,280000,52000,1,0,1,0,10,183
1037,2016,725000,49217,4,2,1,0,18,26
1038,2015,300000,90000,1,1,1,0,17,160
1039,2015,375000,70000,4,1,1,0,10,175
1040,2003,310000,90000,4,1,1,1,9,39
1041,2011,375000,190000,1,1,1,4,18,147
1042,2016,1950000,106000,1,1,0,0,8,56
1043,2012,400000,80000,1,1,1,2,25,176
1044,2014,550000,80000,1,1,1,2,21,150
1045,2018,270000,20000,4,1,1,0,18,53
1046,2012,555000,110000,1,1,1,2,18,58
1047,2013,500000,60000,1,1,1,2,8,52
1048,2010,400000,130000,1,1,0,2,24,93
1049,2017,280000,28838,4,1,1,0,10,50
1050,2008,80000,200000,4,1,1,0,25,82
1051,2006,55000,100000,1,1,1,0,25,82
1052,2014,250000,50000,4,1,1,0,18,14
1053,2010,250000,190000,1,1,1,1,17,28
1054,2007,95000,100000,1,1,1,2,17,87
1055,2014,725000,135000,1,1,1,2,17,138
1056,2015,320000,50000,1,1,1,4,17,28
1057,2014,1200000,135000,1,1,0,4,24,107
1058,2012,160000,50000,1,1,1,0,3,27
1059,2018,790000,19571,1,0,1,0,9,86
1060,2018,1200000,29600,4,0,1,0,9,39
1061,2011,175000,70000,4,1,1,0,18,147
1062,2018,950000,15000,1,1,0,0,18,162
1063,2019,340000,50000,4,1,1,0,18,37
1064,2017,825000,13500,1,1,1,0,23,36
1065,2018,3100000,22000,4,1,0,0,1,8
1066,2018,780000,25000,1,0,1,0,9,17
1067,2010,350000,80000,4,1,0,4,26,43
1068,2018,690000,39000,4,0,1,0,9,17
1069,2016,245000,60000,4,1,1,0,18,14
1070,2018,790000,49000,1,0,1,0,9,17
1071,2018,680000,48600,4,0,1,0,9,17
1072,2017,540000,20000,4,1,1,2,10,74
1073,2016,425000,25000,4,1,1,0,17,89
1074,2008,140000,120000,4,1,1,0,18,180
1075,2019,1100000,30000,1,1,1,0,18,58
1076,2015,715000,35000,1,1,1,0,23,95
1078,2015,1750000,127643,1,0,0,0,1,118
1079,2018,400000,54000,4,0,1,2,25,181
1080,2014,1750000,102354,1,0,0,0,1,10
1081,2014,1850000,62237,4,0,0,0,1,119
1082,2005,114999,90000,4,0,1,2,10,136
1083,2018,950000,21394,1,0,1,0,8,51
1084,2015,310000,32686,4,0,1,0,5,72
1085,2006,575000,1001,1,0,1,0,17,87
1086,2017,490000,22000,1,0,1,0,23,116
1087,2017,480000,53261,4,0,1,0,10,74
1088,2016,3500000,53000,1,0,0,0,15,128
1089,2018,370000,10000,4,0,1,0,23,90
1090,2017,835000,14000,1,0,1,0,18,26
1091,2017,650000,44000,4,0,1,0,27,115
1092,2014,670000,39895,1,0,1,0,26,61
1093,2017,950000,73000,1,0,0,0,3,46
1094,2014,690000,17000,4,0,1,0,9,39
1095,2017,670000,18591,4,0,1,0,27,115
1096,2017,925000,26766,1,0,1,0,25,105
1097,2015,250000,30000,4,1,1,0,10,50
1098,2016,509999,42000,1,1,1,0,25,143
1099,2014,520000,110000,1,1,1,0,9,39
1100,2005,100000,100000,1,1,1,0,25,82
1101,2006,85000,300000,1,1,1,2,25,82
1102,2009,130000,110000,1,1,1,4,25,83
1103,2018,950000,27620,1,0,1,0,8,51
1104,2015,450000,70000,4,1,1,0,8,65
1105,2012,320000,50000,4,1,1,2,9,39
1106,2015,480000,50000,1,1,1,0,18,147
1107,2014,2490000,46000,1,1,0,0,19,104
1108,2012,790000,82000,1,1,1,0,26,85
1109,2016,120000,120000,4,1,1,0,18,108
1110,2006,75000,80000,4,1,1,4,18,14
1111,2010,99000,70000,4,1,1,0,25,82
1112,2018,1015000,20000,1,1,1,0,18,130
1113,2013,250000,200000,1,1,1,2,17,177
1114,2011,520000,120000,1,1,1,0,26,85
1115,2018,1100000,30000,1,1,0,0,10,161
1116,2005,200000,223000,1,1,1,0,26,85
1117,2016,525000,60000,1,1,1,0,18,147
1118,2016,500000,40000,4,1,1,0,10,183
1119,2016,675000,161327,1,1,1,0,17,138
1120,2009,150000,60000,4,1,1,4,10,182
1121,2007,250000,50000,1,1,1,0,17,28
1122,2018,450000,6000,4,1,1,0,10,74
1123,2009,150000,68000,4,1,1,2,10,136
1124,2012,200000,85000,1,1,1,0,3,27
1125,2011,525000,70000,1,1,0,0,17,138
1126,1999,60000,35000,4,1,1,2,18,59
1127,2010,180000,100000,1,1,1,2,18,147
1128,2015,475000,110000,1,1,1,0,9,17
1129,2010,380000,195000,1,1,0,2,17,138
1130,2015,285000,46000,4,1,1,2,18,14
1131,2008,91200,60000,4,1,1,2,18,14
1133,2015,400000,42000,1,1,1,0,10,74
1134,2006,160000,90000,4,1,0,2,10,136
1135,2012,650000,85000,1,1,1,2,24,179
1136,2012,409999,120000,1,1,1,4,10,161
1137,2013,425000,72000,1,1,1,0,8,52
1138,2013,250000,71000,0,1,1,2,18,164
1139,2009,200000,110000,4,1,1,1,18,147
1141,2010,130000,144000,1,1,1,1,27,115
1142,2017,260000,30000,4,0,1,0,18,53
1143,2007,155000,65000,4,0,1,0,10,161
1144,2015,450000,38000,1,1,1,0,9,86
1145,2012,220000,90000,4,1,1,2,18,132
1146,2018,650000,37000,1,0,1,0,10,183
1147,2018,285000,30000,4,0,1,0,18,14
1148,2018,725000,26000,4,0,0,0,9,17
1149,2016,625000,30000,4,0,1,0,18,38
1150,2016,550000,23000,4,0,1,0,10,183
1151,2012,240000,40000,4,0,1,0,10,182
1152,2014,600000,27000,1,0,1,0,21,150
1153,2012,350000,65000,1,0,1,0,25,104
1154,2015,245000,32000,4,0,1,0,10,50
1155,2016,600000,56000,1,0,1,0,17,28
1156,2017,2400000,30000,1,1,0,0,2,167
1157,2014,620000,80000,1,0,1,0,17,138
1158,2014,395000,52000,4,0,1,2,18,147
1159,2014,635000,13250,4,0,1,0,18,58
1160,2011,180000,36000,4,0,1,0,18,14
1161,2015,484999,73000,1,0,1,2,18,147
1162,2004,110000,60000,4,1,1,0,18,14
1163,2006,150000,60000,4,1,1,2,18,164
1164,2012,400000,110000,1,1,1,0,3,149
1165,2012,200000,70000,1,1,1,2,25,82
1166,2013,302000,60000,1,1,1,2,23,48
1167,2011,215000,90000,1,1,1,1,18,147
1168,2004,155000,80000,4,1,1,2,18,164
1169,2014,1000000,101000,1,1,1,2,26,85
1170,2018,550000,44000,1,1,1,0,17,28
1171,2006,200000,45000,4,1,1,0,18,147
1172,2017,750000,120000,1,1,1,0,17,138
1173,2005,90000,90000,4,1,1,2,18,180
1174,2007,80000,120000,4,1,1,2,18,164
1175,2013,229999,13500,4,1,1,0,10,50
1176,2017,350000,10000,4,1,1,0,23,90
1177,2015,325000,25000,4,1,1,4,10,74
1178,2018,450000,8500,4,1,1,0,25,153
1179,2012,250000,120000,1,1,1,0,18,132
1180,2012,225000,120000,1,1,1,0,27,115
1181,2009,150000,90246,4,1,1,4,18,14
